tag_id,nome,hora_entrada,hora_saida,tempo_cocho,peso_animal,peso_racao,%,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:58:15,2025-10-06 17:58:15,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:58:35,2025-10-06 17:58:35,0m 0s,77.102,-2,,
D4E63000E2806A960000501CCB867555,12,2025-10-06 18:00:35,2025-10-06 18:01:21,0m 46s,81.508,365.643,0.45,
D4E63000E2806A960000501CCB867555,12,2025-10-06 18:01:39,2025-10-06 18:01:39,0m 0s,81.508,-2,,
D4E63000E2806A960000501CCB867555,12,2025-10-06 18:01:39,2025-10-06 18:01:39,0m 0s,81.508,-2,,
D4E63000E2806A960000501CCB867555,12,2025-10-06 18:01:41,2025-10-06 18:01:41,0m 0s,81.508,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:02:24,2025-10-06 18:02:50,0m 25s,-1,386.077,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:02:24,2025-10-06 18:02:50,0m 25s,-1,386.077,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:02:52,2025-10-06 18:02:52,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:02:56,2025-10-06 18:02:56,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:00,2025-10-06 18:03:01,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:00,2025-10-06 18:03:01,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:05,2025-10-06 18:03:05,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:03,2025-10-06 18:03:03,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:05,2025-10-06 18:03:05,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:08,2025-10-06 18:03:08,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:05,2025-10-06 18:03:05,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:14,2025-10-06 18:03:14,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:14,2025-10-06 18:03:14,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:08,2025-10-06 18:03:08,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:09,2025-10-06 18:03:09,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:15,2025-10-06 18:03:15,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:26,2025-10-06 18:03:26,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:32,2025-10-06 18:03:32,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:32,2025-10-06 18:03:32,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:33,2025-10-06 18:03:33,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:43,2025-10-06 18:03:43,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:43,2025-10-06 18:03:43,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:51,2025-10-06 18:03:51,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:51,2025-10-06 18:03:51,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:51,2025-10-06 18:03:51,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 18:03:52,2025-10-06 18:03:52,0m 0s,77.102,-2,,
